date,Avg_MW,Peak_MW,Min_MW,Lower_90,Upper_90
2026-04-01,17885.9,19127.6,15910.9,16543.3,19228.6
2026-04-02,17843.9,18931.2,15870.3,16501.3,19186.6
2026-04-03,17666.3,18592.6,15807.6,16323.7,19009.0
2026-04-04,17519.9,18339.4,15920.1,16177.3,18862.5
2026-04-05,17255.7,17944.9,15997.1,15913.1,18598.4
2026-04-06,17590.5,18671.3,15910.0,16247.9,18933.1
2026-04-07,17926.0,19046.5,16050.9,16583.3,19268.6
2026-04-08,18078.7,19168.8,16097.8,16736.1,19421.3
2026-04-09,18175.7,19250.1,16142.4,16833.0,19518.3
2026-04-10,18176.4,19340.3,16140.4,16833.8,19519.0
2026-04-11,17754.5,18843.1,15771.1,16411.8,19097.1
2026-04-12,17234.8,17971.2,15477.6,15892.2,18577.4
2026-04-13,17576.4,18731.2,15568.3,16233.7,18919.0
2026-04-14,17753.7,18888.0,15684.6,16411.1,19096.4
2026-04-15,17875.5,18998.1,15800.7,16532.9,19218.1
2026-04-16,18074.8,19156.6,15871.9,16732.1,19417.4
2026-04-17,18226.1,19247.0,16084.4,16883.5,19568.7
2026-04-18,17959.0,18953.3,15963.6,16616.4,19301.6
2026-04-19,17412.4,18151.5,15684.6,16069.8,18755.1
2026-04-20,17866.5,19019.5,15746.3,16523.9,19209.2
2026-04-21,18106.0,19157.1,15956.3,16763.4,19448.6
2026-04-22,18154.5,19107.3,16123.8,16811.9,19497.2
2026-04-23,18183.5,19087.6,16188.2,16840.9,19526.1
2026-04-24,18226.2,19116.1,16214.4,16883.6,19568.8
2026-04-25,17922.2,18814.0,16032.1,16579.6,19264.8
2026-04-26,17282.8,18102.5,15697.5,15940.2,18625.5
2026-04-27,17782.7,18905.9,15649.8,16440.1,19125.3
2026-04-28,18011.3,19042.0,15911.9,16668.7,19353.9
2026-04-29,18072.8,19000.5,16036.2,16730.2,19415.4
2026-04-30,18011.2,18977.0,15930.3,16668.6,19353.8
2026-05-01,18026.3,18945.0,15910.6,16683.7,19368.9
2026-05-02,17774.0,18590.2,15758.1,16431.4,19116.6
2026-05-03,17175.5,18140.7,15581.5,15832.8,18518.1
2026-05-04,17839.4,19005.9,15582.7,16496.8,19182.0
2026-05-05,18142.8,19220.9,15846.9,16800.1,19485.4
2026-05-06,18166.6,19224.9,16022.1,16824.0,19509.2
2026-05-07,18199.4,19281.2,16051.4,16856.8,19542.0
2026-05-08,18187.8,19265.8,16038.2,16845.2,19530.4
2026-05-09,17776.4,18758.9,15809.1,16433.8,19119.0
2026-05-10,17024.6,18053.7,15514.9,15681.9,18367.2
2026-05-11,17491.0,18593.1,15480.7,16148.4,18833.6
2026-05-12,17636.5,18727.2,15650.3,16293.9,18979.1
2026-05-13,17726.5,18788.3,15796.1,16383.9,19069.1
2026-05-14,17758.5,18789.8,15867.2,16415.9,19101.1
2026-05-15,17739.4,18779.6,15807.1,16396.8,19082.0
2026-05-16,17336.7,18171.0,15701.6,15994.1,18679.3
2026-05-17,16261.3,17156.9,15324.7,14918.7,17603.9
2026-05-18,17075.5,18292.9,15001.2,15732.9,18418.2
2026-05-19,17292.1,18623.2,15394.7,15949.5,18634.7
2026-05-20,17310.7,18521.0,15438.9,15968.1,18653.4
2026-05-21,17318.3,18470.8,15391.3,15975.7,18660.9
2026-05-22,17287.6,18431.2,15315.1,15945.0,18630.2
2026-05-23,16858.1,17806.9,15232.4,15515.5,18200.8
2026-05-24,15359.5,16305.7,14810.3,14016.9,16702.1
2026-05-25,16273.3,17721.2,13925.7,14930.7,17615.9
2026-05-26,16620.3,17537.9,15059.6,15277.7,17962.9
2026-05-27,16548.7,17448.0,15061.2,15206.0,17891.3
2026-05-28,16698.5,17611.5,15201.3,15355.9,18041.1
2026-05-29,16837.3,17787.8,15283.5,15494.7,18180.0
2026-05-30,16592.0,17463.1,15225.9,15249.4,17934.6
2026-05-31,15576.7,16440.9,15015.2,14234.1,16919.4
2026-06-01,16341.7,17839.7,14070.6,14999.1,17684.3
2026-06-02,16776.7,17917.4,15132.0,15434.1,18119.4
